year,ton_km,commodity
1996,2219008742.0,General
1997,2404057485.0,General
1998,2563000926.0,General
1999,2772177443.0,General
2000,3112792576.0,General
2001,2726172422.0,General
2002,2834305972.0,General
2003,3014299702.0,General
2004,3038824455.0,General
2005,3286679042.0,General
2006,3643310023.0,General
2007,3799182609.0,General
2008,4071588192.0,General
2009,2716718366.0,General
2010,3173224978.0,General
2011,3793862982.0,General
2012,4015982998.0,General
2013,4025551789.0,General
2014,3579984011.0,General
2015,3343505864.0,General
2016,2986757288.0,General
2017,2945994900.0,General
2018,2923813062.0,General
1996,,Heavy
1997,,Heavy
1998,,Heavy
1999,,Heavy
2000,,Heavy
2001,,Heavy
2002,,Heavy
2003,,Heavy
2004,,Heavy
2005,,Heavy
2006,,Heavy
2007,,Heavy
2008,,Heavy
2009,,Heavy
2010,,Heavy
2011,,Heavy
2012,,Heavy
2013,,Heavy
2014,,Heavy
2015,52287954.0,Heavy
2016,43537934.7,Heavy
2017,45111369.0,Heavy
2018,179371102.8,Heavy
1996,,Coal
1997,,Coal
1998,,Coal
1999,,Coal
2000,,Coal
2001,,Coal
2002,,Coal
2003,,Coal
2004,,Coal
2005,,Coal
2006,,Coal
2007,,Coal
2008,,Coal
2009,,Coal
2010,,Coal
2011,,Coal
2012,,Coal
2013,,Coal
2014,,Coal
2015,12270938.0,Coal
2016,12035700.0,Coal
2017,8921750.0,Coal
2018,64415754.7,Coal
1996,,Clinker
1997,,Clinker
1998,,Clinker
1999,,Clinker
2000,,Clinker
2001,,Clinker
2002,,Clinker
2003,,Clinker
2004,,Clinker
2005,,Clinker
2006,,Clinker
2007,,Clinker
2008,,Clinker
2009,,Clinker
2010,,Clinker
2011,,Clinker
2012,,Clinker
2013,,Clinker
2014,,Clinker
2015,6224800.0,Clinker
2016,5090110.0,Clinker
2017,7750050.0,Clinker
2018,3305260.0,Clinker
1996,,Slag
1997,,Slag
1998,,Slag
1999,,Slag
2000,,Slag
2001,,Slag
2002,,Slag
2003,,Slag
2004,,Slag
2005,,Slag
2006,,Slag
2007,,Slag
2008,,Slag
2009,,Slag
2010,,Slag
2011,,Slag
2012,,Slag
2013,,Slag
2014,,Slag
2015,5741756.0,Slag
2016,4676940.0,Slag
2017,351540.0,Slag
2018,,Slag
1996,,OtherHeavy
1997,,OtherHeavy
1998,,OtherHeavy
1999,,OtherHeavy
2000,,OtherHeavy
2001,,OtherHeavy
2002,,OtherHeavy
2003,,OtherHeavy
2004,,OtherHeavy
2005,,OtherHeavy
2006,,OtherHeavy
2007,,OtherHeavy
2008,,OtherHeavy
2009,,OtherHeavy
2010,,OtherHeavy
2011,,OtherHeavy
2012,,OtherHeavy
2013,,OtherHeavy
2014,,OtherHeavy
2015,8532550.0,OtherHeavy
2016,9287330.0,OtherHeavy
2017,46736160.0,OtherHeavy
2018,4743340.0,OtherHeavy
1996,,Ferronickel
1997,,Ferronickel
1998,,Ferronickel
1999,,Ferronickel
2000,,Ferronickel
2001,,Ferronickel
2002,,Ferronickel
2003,,Ferronickel
2004,,Ferronickel
2005,,Ferronickel
2006,,Ferronickel
2007,,Ferronickel
2008,,Ferronickel
2009,,Ferronickel
2010,,Ferronickel
2011,,Ferronickel
2012,,Ferronickel
2013,,Ferronickel
2014,,Ferronickel
2015,9295152.1,Ferronickel
2016,14660539.2,Ferronickel
2017,14895907.6,Ferronickel
2018,15599968.2,Ferronickel
1996,,JRContainer
1997,,JRContainer
1998,,JRContainer
1999,,JRContainer
2000,,JRContainer
2001,,JRContainer
2002,,JRContainer
2003,,JRContainer
2004,,JRContainer
2005,,JRContainer
2006,,JRContainer
2007,,JRContainer
2008,,JRContainer
2009,,JRContainer
2010,,JRContainer
2011,,JRContainer
2012,,JRContainer
2013,,JRContainer
2014,,JRContainer
2015,61560.0,JRContainer
2016,0.0,JRContainer
2017,0.0,JRContainer
2018,,JRContainer
1996,,ParcelContainer
1997,,ParcelContainer
1998,,ParcelContainer
1999,,ParcelContainer
2000,,ParcelContainer
2001,,ParcelContainer
2002,,ParcelContainer
2003,,ParcelContainer
2004,,ParcelContainer
2005,,ParcelContainer
2006,,ParcelContainer
2007,,ParcelContainer
2008,,ParcelContainer
2009,,ParcelContainer
2010,,ParcelContainer
2011,,ParcelContainer
2012,,ParcelContainer
2013,,ParcelContainer
2014,,ParcelContainer
2015,0.0,ParcelContainer
2016,0.0,ParcelContainer
2017,0.0,ParcelContainer
2018,,ParcelContainer
