year,general_tonkm,heavy_tonkm,coal_tonkm,clinker_tonkm,slag_tonkm,other_heavy_tonkm,ferronickel_tonkm,jr_container_tonkm,parcel_container_tonkm
1996,2219008742,,,,,,,,
1997,2404057485,,,,,,,,
1998,2563000926,,,,,,,,
1999,2772177443,,,,,,,,
2000,3112792576,,,,,,,,
2001,2726172422,,,,,,,,
2002,2834305972,,,,,,,,
2003,3014299702,,,,,,,,
2004,3038824455,,,,,,,,
2005,3286679042,,,,,,,,
2006,3643310023,,,,,,,,
2007,3799182609,,,,,,,,
2008,4071588192,,,,,,,,
2009,2716718366,,,,,,,,
2010,3173224978,,,,,,,,
2011,3793862982,,,,,,,,
2012,4015982998,,,,,,,,
2013,4025551789,,,,,,,,
2014,3579984011,,,,,,,,
2015,3343505864,52287954.0,12270938.0,6224800.0,5741756.0,8532550.0,9295152.1,61560.0,0.0
2016,2986757288,43537934.7,12035700.0,5090110.0,4676940.0,9287330.0,14660539.2,0.0,0.0
2017,2945994900,45111369.0,8921750.0,7750050.0,351540.0,46736160.0,14895907.6,0.0,0.0
2018,2923813062,179371102.8,64415754.7,3305260.0,,4743340.0,15599968.2,,
