year,tons,commodity
1996,5822301.0,General
1997,6350040.0,General
1998,6916406.0,General
1999,7648361.0,General
2000,8715518.0,General
2001,7773795.0,General
2002,8154003.0,General
2003,8753001.0,General
2004,8925206.0,General
2005,10034028.0,General
2006,11252745.0,General
2007,11728968.0,General
2008,12443420.0,General
2009,8511304.0,General
2010,9947590.0,General
2011,11678460.0,General
2012,12109946.0,General
2013,11852929.0,General
2014,10386279.0,General
2015,9341755.0,General
2016,8026752.0,General
2017,7817933.0,General
2018,8680582.0,General
1996,,Heavy
1997,,Heavy
1998,,Heavy
1999,,Heavy
2000,,Heavy
2001,,Heavy
2002,,Heavy
2003,,Heavy
2004,,Heavy
2005,956807.0,Heavy
2006,1069251.0,Heavy
2007,1126755.0,Heavy
2008,1185355.0,Heavy
2009,799617.0,Heavy
2010,934111.0,Heavy
2011,1099956.0,Heavy
2012,1138665.0,Heavy
2013,1096654.0,Heavy
2014,944693.0,Heavy
2015,284424.0,Heavy
2016,245571.0,Heavy
2017,257416.0,Heavy
2018,760247.0,Heavy
1996,,Coal
1997,,Coal
1998,,Coal
1999,,Coal
2000,,Coal
2001,,Coal
2002,,Coal
2003,,Coal
2004,,Coal
2005,,Coal
2006,,Coal
2007,,Coal
2008,,Coal
2009,,Coal
2010,,Coal
2011,,Coal
2012,,Coal
2013,,Coal
2014,,Coal
2015,83200.0,Coal
2016,82050.0,Coal
2017,60500.0,Coal
2018,343568.0,Coal
1996,,Clinker
1997,,Clinker
1998,,Clinker
1999,,Clinker
2000,,Clinker
2001,,Clinker
2002,,Clinker
2003,,Clinker
2004,,Clinker
2005,,Clinker
2006,,Clinker
2007,,Clinker
2008,,Clinker
2009,,Clinker
2010,,Clinker
2011,,Clinker
2012,,Clinker
2013,,Clinker
2014,,Clinker
2015,24200.0,Clinker
2016,20450.0,Clinker
2017,34550.0,Clinker
2018,14550.0,Clinker
1996,,Slag
1997,,Slag
1998,,Slag
1999,,Slag
2000,,Slag
2001,,Slag
2002,,Slag
2003,,Slag
2004,,Slag
2005,,Slag
2006,,Slag
2007,,Slag
2008,,Slag
2009,,Slag
2010,,Slag
2011,,Slag
2012,,Slag
2013,,Slag
2014,,Slag
2015,25350.0,Slag
2016,20450.0,Slag
2017,1550.0,Slag
2018,,Slag
1996,,OtherHeavy
1997,,OtherHeavy
1998,,OtherHeavy
1999,,OtherHeavy
2000,,OtherHeavy
2001,,OtherHeavy
2002,,OtherHeavy
2003,,OtherHeavy
2004,,OtherHeavy
2005,,OtherHeavy
2006,,OtherHeavy
2007,,OtherHeavy
2008,,OtherHeavy
2009,,OtherHeavy
2010,,OtherHeavy
2011,,OtherHeavy
2012,,OtherHeavy
2013,,OtherHeavy
2014,,OtherHeavy
2015,53300.0,OtherHeavy
2016,58250.0,OtherHeavy
2017,246500.0,OtherHeavy
2018,27300.0,OtherHeavy
1996,,Ferronickel
1997,,Ferronickel
1998,,Ferronickel
1999,,Ferronickel
2000,,Ferronickel
2001,,Ferronickel
2002,,Ferronickel
2003,,Ferronickel
2004,,Ferronickel
2005,,Ferronickel
2006,,Ferronickel
2007,,Ferronickel
2008,,Ferronickel
2009,,Ferronickel
2010,,Ferronickel
2011,,Ferronickel
2012,,Ferronickel
2013,,Ferronickel
2014,,Ferronickel
2015,28892.0,Ferronickel
2016,46004.0,Ferronickel
2017,47058.0,Ferronickel
2018,48051.0,Ferronickel
1996,,JRContainer
1997,,JRContainer
1998,,JRContainer
1999,,JRContainer
2000,,JRContainer
2001,,JRContainer
2002,,JRContainer
2003,,JRContainer
2004,,JRContainer
2005,,JRContainer
2006,,JRContainer
2007,,JRContainer
2008,,JRContainer
2009,,JRContainer
2010,,JRContainer
2011,,JRContainer
2012,,JRContainer
2013,,JRContainer
2014,,JRContainer
2015,150.0,JRContainer
2016,,JRContainer
2017,,JRContainer
2018,,JRContainer
