year,general_ton,heavy_ton,coal_ton,clinker_ton,slag_ton,other_heavy_ton,ferronickel_ton,jr_container_ton
1996,5822301,,,,,,,
1997,6350040,,,,,,,
1998,6916406,,,,,,,
1999,7648361,,,,,,,
2000,8715518,,,,,,,
2001,7773795,,,,,,,
2002,8154003,,,,,,,
2003,8753001,,,,,,,
2004,8925206,,,,,,,
2005,10034028,956807.0,,,,,,
2006,11252745,1069251.0,,,,,,
2007,11728968,1126755.0,,,,,,
2008,12443420,1185355.0,,,,,,
2009,8511304,799617.0,,,,,,
2010,9947590,934111.0,,,,,,
2011,11678460,1099956.0,,,,,,
2012,12109946,1138665.0,,,,,,
2013,11852929,1096654.0,,,,,,
2014,10386279,944693.0,,,,,,
2015,9341755,284424.0,83200.0,24200.0,25350.0,53300.0,28892.0,150.0
2016,8026752,245571.0,82050.0,20450.0,20450.0,58250.0,46004.0,
2017,7817933,257416.0,60500.0,34550.0,1550.0,246500.0,47058.0,
2018,8680582,760247.0,343568.0,14550.0,,27300.0,48051.0,
