site,facility_type,area_sqm_total_group
오봉,CY,974148
두정,CY,974148
삽교,CY,974148
소정리,CY,974148
충주,CY,974148
옥천,CY,974148
약목,CY,974148
부산진,CY,974148
울산항,CY,974148
석포,CY,974148
군산,CY,974148
동익산,CY,974148
동산,CY,974148
하남,CY,974148
흥국사,CY,974148
인천,CY,974148
부산신항,CY,974148
광양항,CY,974148
신광양항,CY,974148
신탄진,CY,974148
옥계,CY,974148
문수,CY,974148
아포,CY,974148
가야,CY,974148
온산,CY,974148
신창원,CY,974148
동해,CY,974148
괴동,CY,974148
조치원,CY,974148
청주,CY,974148
부강,CY,974148
매포,CY,974148
