line_kor,line_norm,period,flow_type,trips_per_day
경부선,Gyeongbu Line,Weekday,Container,42.0
호남선,Honam Line,Weekday,Container,
전라선,Jeolla Line,Weekday,Container,10.0
장항선,Janghang Line,Weekday,Container,
중앙선,Jungang Line,Weekday,Container,8.0
태백선,Taebaek Line,Weekday,Container,
영동선,Yeongdong Line,Weekday,Container,
충북선,Chungbuk Line,Weekday,Container,
대구선,Daegu Line,Weekday,Container,
동해남부선,Donghae Nambu Line,Weekday,Container,
경전선,Gyeongjeon Line,Weekday,Container,6.0
경춘선,Gyeongchun Line,Weekday,Container,
경의선,Gyeongui Line,Weekday,Container,
경원선,Gyeongwon Line,Weekday,Container,
경북선,Gyeongbuk Line,Weekday,Container,
수인선,Suin Line,Weekday,Container,
동해선,Donghae Line,Weekday,Container,
정선선,Jeongseon Line,Weekday,Container,
괴동선,Gwaedong Line,Weekday,Container,
강릉선,Gangneung Line,Weekday,Container,
경강선,Gyeonggang Line,Weekday,Container,
경인선,Gyeongin Line,Weekday,Container,
안산선,Ansan Line,Weekday,Container,
분당선,Bundang Line,Weekday,Container,
일산선,Ilsan Line,Weekday,Container,
경부선,Gyeongbu Line,Weekend,Container,33.0
호남선,Honam Line,Weekend,Container,
전라선,Jeolla Line,Weekend,Container,8.0
장항선,Janghang Line,Weekend,Container,
중앙선,Jungang Line,Weekend,Container,6.0
태백선,Taebaek Line,Weekend,Container,
영동선,Yeongdong Line,Weekend,Container,
충북선,Chungbuk Line,Weekend,Container,
대구선,Daegu Line,Weekend,Container,
동해남부선,Donghae Nambu Line,Weekend,Container,
경전선,Gyeongjeon Line,Weekend,Container,2.0
경춘선,Gyeongchun Line,Weekend,Container,
경의선,Gyeongui Line,Weekend,Container,
경원선,Gyeongwon Line,Weekend,Container,
경북선,Gyeongbuk Line,Weekend,Container,
수인선,Suin Line,Weekend,Container,
동해선,Donghae Line,Weekend,Container,
정선선,Jeongseon Line,Weekend,Container,
괴동선,Gwaedong Line,Weekend,Container,
강릉선,Gangneung Line,Weekend,Container,
경강선,Gyeonggang Line,Weekend,Container,
경인선,Gyeongin Line,Weekend,Container,
안산선,Ansan Line,Weekend,Container,
분당선,Bundang Line,Weekend,Container,
일산선,Ilsan Line,Weekend,Container,
경부선,Gyeongbu Line,Weekday,Bulk,16.0
호남선,Honam Line,Weekday,Bulk,2.0
전라선,Jeolla Line,Weekday,Bulk,9.0
장항선,Janghang Line,Weekday,Bulk,9.0
중앙선,Jungang Line,Weekday,Bulk,46.0
태백선,Taebaek Line,Weekday,Bulk,11.0
영동선,Yeongdong Line,Weekday,Bulk,6.0
충북선,Chungbuk Line,Weekday,Bulk,49.0
대구선,Daegu Line,Weekday,Bulk,1.0
동해남부선,Donghae Nambu Line,Weekday,Bulk,
경전선,Gyeongjeon Line,Weekday,Bulk,2.0
경춘선,Gyeongchun Line,Weekday,Bulk,
경의선,Gyeongui Line,Weekday,Bulk,
경원선,Gyeongwon Line,Weekday,Bulk,
경북선,Gyeongbuk Line,Weekday,Bulk,
수인선,Suin Line,Weekday,Bulk,
동해선,Donghae Line,Weekday,Bulk,
정선선,Jeongseon Line,Weekday,Bulk,
괴동선,Gwaedong Line,Weekday,Bulk,
강릉선,Gangneung Line,Weekday,Bulk,
경강선,Gyeonggang Line,Weekday,Bulk,
경인선,Gyeongin Line,Weekday,Bulk,
안산선,Ansan Line,Weekday,Bulk,
분당선,Bundang Line,Weekday,Bulk,
일산선,Ilsan Line,Weekday,Bulk,
경부선,Gyeongbu Line,Weekend,Bulk,14.0
호남선,Honam Line,Weekend,Bulk,
전라선,Jeolla Line,Weekend,Bulk,9.0
장항선,Janghang Line,Weekend,Bulk,9.0
중앙선,Jungang Line,Weekend,Bulk,41.0
태백선,Taebaek Line,Weekend,Bulk,10.0
영동선,Yeongdong Line,Weekend,Bulk,6.0
충북선,Chungbuk Line,Weekend,Bulk,41.0
대구선,Daegu Line,Weekend,Bulk,1.0
동해남부선,Donghae Nambu Line,Weekend,Bulk,
경전선,Gyeongjeon Line,Weekend,Bulk,2.0
경춘선,Gyeongchun Line,Weekend,Bulk,
경의선,Gyeongui Line,Weekend,Bulk,
경원선,Gyeongwon Line,Weekend,Bulk,
경북선,Gyeongbuk Line,Weekend,Bulk,
수인선,Suin Line,Weekend,Bulk,
동해선,Donghae Line,Weekend,Bulk,
정선선,Jeongseon Line,Weekend,Bulk,
괴동선,Gwaedong Line,Weekend,Bulk,
강릉선,Gangneung Line,Weekend,Bulk,
경강선,Gyeonggang Line,Weekend,Bulk,
경인선,Gyeongin Line,Weekend,Bulk,
안산선,Ansan Line,Weekend,Bulk,
분당선,Bundang Line,Weekend,Bulk,
일산선,Ilsan Line,Weekend,Bulk,
