line_kor,container_trips_per_day,bulk_trips_per_day,line_norm,period
경부선,42.0,16.0,Gyeongbu Line,Weekday
호남선,,2.0,Honam Line,Weekday
전라선,10.0,9.0,Jeolla Line,Weekday
장항선,,9.0,Janghang Line,Weekday
중앙선,8.0,46.0,Jungang Line,Weekday
태백선,,11.0,Taebaek Line,Weekday
영동선,,6.0,Yeongdong Line,Weekday
충북선,,49.0,Chungbuk Line,Weekday
대구선,,1.0,Daegu Line,Weekday
동해남부선,,,Donghae Nambu Line,Weekday
경전선,6.0,2.0,Gyeongjeon Line,Weekday
경춘선,,,Gyeongchun Line,Weekday
경의선,,,Gyeongui Line,Weekday
경원선,,,Gyeongwon Line,Weekday
경북선,,,Gyeongbuk Line,Weekday
수인선,,,Suin Line,Weekday
동해선,,,Donghae Line,Weekday
정선선,,,Jeongseon Line,Weekday
괴동선,,,Gwaedong Line,Weekday
강릉선,,,Gangneung Line,Weekday
경강선,,,Gyeonggang Line,Weekday
경인선,,,Gyeongin Line,Weekday
안산선,,,Ansan Line,Weekday
분당선,,,Bundang Line,Weekday
일산선,,,Ilsan Line,Weekday
경부선,33.0,14.0,Gyeongbu Line,Weekend
호남선,,,Honam Line,Weekend
전라선,8.0,9.0,Jeolla Line,Weekend
장항선,,9.0,Janghang Line,Weekend
중앙선,6.0,41.0,Jungang Line,Weekend
태백선,,10.0,Taebaek Line,Weekend
영동선,,6.0,Yeongdong Line,Weekend
충북선,,41.0,Chungbuk Line,Weekend
대구선,,1.0,Daegu Line,Weekend
동해남부선,,,Donghae Nambu Line,Weekend
경전선,2.0,2.0,Gyeongjeon Line,Weekend
경춘선,,,Gyeongchun Line,Weekend
경의선,,,Gyeongui Line,Weekend
경원선,,,Gyeongwon Line,Weekend
경북선,,,Gyeongbuk Line,Weekend
수인선,,,Suin Line,Weekend
동해선,,,Donghae Line,Weekend
정선선,,,Jeongseon Line,Weekend
괴동선,,,Gwaedong Line,Weekend
강릉선,,,Gangneung Line,Weekend
경강선,,,Gyeonggang Line,Weekend
경인선,,,Gyeongin Line,Weekend
안산선,,,Ansan Line,Weekend
분당선,,,Bundang Line,Weekend
일산선,,,Ilsan Line,Weekend
