payload_ton,fleet_count,wagon_subtype,subtype_count
0.0,13,closed_wagon,0
15.0,62,closed_wagon,0
20.7,38,closed_wagon,0
25.0,35,closed_wagon,0
28.3,11,closed_wagon,11
40.0,7,closed_wagon,0
47.5,543,closed_wagon,516
48.0,2113,closed_wagon,0
50.0,151,closed_wagon,114
51.0,117,closed_wagon,0
51.5,2287,closed_wagon,114
52.0,209,closed_wagon,30
53.0,290,closed_wagon,0
53.8,1137,closed_wagon,0
54.0,21,closed_wagon,0
54.5,19,closed_wagon,0
55.0,13,closed_wagon,0
55.8,348,closed_wagon,0
56.5,21,closed_wagon,0
60.0,50,closed_wagon,0
61.2,506,closed_wagon,0
62.6,5,closed_wagon,0
66.0,135,closed_wagon,0
70.0,1,closed_wagon,0
90.0,1,closed_wagon,0
100.0,1,closed_wagon,0
165.0,1,closed_wagon,0
0.0,13,open_wagon,0
15.0,62,open_wagon,0
20.7,38,open_wagon,0
25.0,35,open_wagon,0
28.3,11,open_wagon,0
40.0,7,open_wagon,0
47.5,543,open_wagon,0
48.0,2113,open_wagon,765
50.0,151,open_wagon,14
51.0,117,open_wagon,0
51.5,2287,open_wagon,0
52.0,209,open_wagon,77
53.0,290,open_wagon,290
53.8,1137,open_wagon,1023
54.0,21,open_wagon,0
54.5,19,open_wagon,19
55.0,13,open_wagon,0
55.8,348,open_wagon,0
56.5,21,open_wagon,0
60.0,50,open_wagon,0
61.2,506,open_wagon,0
62.6,5,open_wagon,0
66.0,135,open_wagon,0
70.0,1,open_wagon,0
90.0,1,open_wagon,0
100.0,1,open_wagon,0
165.0,1,open_wagon,0
0.0,13,flat_wagon,0
15.0,62,flat_wagon,0
20.7,38,flat_wagon,0
25.0,35,flat_wagon,0
28.3,11,flat_wagon,0
40.0,7,flat_wagon,0
47.5,543,flat_wagon,27
48.0,2113,flat_wagon,1094
50.0,151,flat_wagon,0
51.0,117,flat_wagon,117
51.5,2287,flat_wagon,502
52.0,209,flat_wagon,102
53.0,290,flat_wagon,0
53.8,1137,flat_wagon,114
54.0,21,flat_wagon,21
54.5,19,flat_wagon,0
55.0,13,flat_wagon,13
55.8,348,flat_wagon,348
56.5,21,flat_wagon,3
60.0,50,flat_wagon,0
61.2,506,flat_wagon,506
62.6,5,flat_wagon,0
66.0,135,flat_wagon,135
70.0,1,flat_wagon,1
90.0,1,flat_wagon,1
100.0,1,flat_wagon,1
165.0,1,flat_wagon,1
0.0,13,parcel,0
15.0,62,parcel,16
20.7,38,parcel,0
25.0,35,parcel,0
28.3,11,parcel,0
40.0,7,parcel,0
47.5,543,parcel,0
48.0,2113,parcel,0
50.0,151,parcel,0
51.0,117,parcel,0
51.5,2287,parcel,0
52.0,209,parcel,0
53.0,290,parcel,0
53.8,1137,parcel,0
54.0,21,parcel,0
54.5,19,parcel,0
55.0,13,parcel,0
55.8,348,parcel,0
56.5,21,parcel,0
60.0,50,parcel,0
61.2,506,parcel,0
62.6,5,parcel,0
66.0,135,parcel,0
70.0,1,parcel,0
90.0,1,parcel,0
100.0,1,parcel,0
165.0,1,parcel,0
0.0,13,tank_wagon,0
15.0,62,tank_wagon,0
20.7,38,tank_wagon,38
25.0,35,tank_wagon,35
28.3,11,tank_wagon,0
40.0,7,tank_wagon,7
47.5,543,tank_wagon,0
48.0,2113,tank_wagon,254
50.0,151,tank_wagon,23
51.0,117,tank_wagon,0
51.5,2287,tank_wagon,1671
52.0,209,tank_wagon,0
53.0,290,tank_wagon,0
53.8,1137,tank_wagon,0
54.0,21,tank_wagon,0
54.5,19,tank_wagon,0
55.0,13,tank_wagon,0
55.8,348,tank_wagon,0
56.5,21,tank_wagon,18
60.0,50,tank_wagon,50
61.2,506,tank_wagon,0
62.6,5,tank_wagon,5
66.0,135,tank_wagon,0
70.0,1,tank_wagon,0
90.0,1,tank_wagon,0
100.0,1,tank_wagon,0
165.0,1,tank_wagon,0
0.0,13,guard_wagon,13
15.0,62,guard_wagon,22
20.7,38,guard_wagon,0
25.0,35,guard_wagon,0
28.3,11,guard_wagon,0
40.0,7,guard_wagon,0
47.5,543,guard_wagon,0
48.0,2113,guard_wagon,0
50.0,151,guard_wagon,0
51.0,117,guard_wagon,0
51.5,2287,guard_wagon,0
52.0,209,guard_wagon,0
53.0,290,guard_wagon,0
53.8,1137,guard_wagon,0
54.0,21,guard_wagon,0
54.5,19,guard_wagon,0
55.0,13,guard_wagon,0
55.8,348,guard_wagon,0
56.5,21,guard_wagon,0
60.0,50,guard_wagon,0
61.2,506,guard_wagon,0
62.6,5,guard_wagon,0
66.0,135,guard_wagon,0
70.0,1,guard_wagon,0
90.0,1,guard_wagon,0
100.0,1,guard_wagon,0
165.0,1,guard_wagon,0
0.0,13,ballast_wagon,0
15.0,62,ballast_wagon,24
20.7,38,ballast_wagon,0
25.0,35,ballast_wagon,0
28.3,11,ballast_wagon,0
40.0,7,ballast_wagon,0
47.5,543,ballast_wagon,0
48.0,2113,ballast_wagon,0
50.0,151,ballast_wagon,0
51.0,117,ballast_wagon,0
51.5,2287,ballast_wagon,0
52.0,209,ballast_wagon,0
53.0,290,ballast_wagon,0
53.8,1137,ballast_wagon,0
54.0,21,ballast_wagon,0
54.5,19,ballast_wagon,0
55.0,13,ballast_wagon,0
55.8,348,ballast_wagon,0
56.5,21,ballast_wagon,0
60.0,50,ballast_wagon,0
61.2,506,ballast_wagon,0
62.6,5,ballast_wagon,0
66.0,135,ballast_wagon,0
70.0,1,ballast_wagon,0
90.0,1,ballast_wagon,0
100.0,1,ballast_wagon,0
165.0,1,ballast_wagon,0
