tare_ton,closed_wagon,tank_wagon,open_wagon,flat_wagon,parcel,guard_wagon,ballast_wagon
16.6,785,2188,2101,2985,16,24,35
17.5,0,0,0,0,13,0,0
17.7,0,0,0,200,0,0,0
18.1,0,0,0,177,0,0,0
18.2,0,0,0,381,0,0,0
18.5,0,0,0,18,0,0,0
19.3,0,0,0,291,0,0,0
19.4,0,97,0,0,0,0,0
19.5,0,20,0,0,0,0,0
19.7,0,102,0,27,0,0,0
19.9,0,84,0,0,0,0,0
20.0,0,100,0,0,0,0,0
20.1,0,636,0,0,0,0,0
20.2,0,0,85,0,0,0,0
20.3,0,0,0,63,0,0,0
20.4,0,0,0,50,0,0,0
20.5,0,0,0,43,0,0,0
20.6,0,0,19,0,0,0,0
20.7,0,33,0,0,0,0,0
20.8,0,35,0,76,0,0,0
21.1,0,0,0,132,0,0,0
21.2,0,0,77,0,0,0,0
21.3,0,0,290,0,0,0,0
21.4,0,0,197,191,0,0,0
21.6,0,0,0,142,0,0,0
21.7,0,0,0,36,0,0,0
22.0,0,0,826,0,0,0,0
22.1,0,218,0,251,0,0,0
22.2,0,234,0,124,0,0,0
22.3,0,142,0,99,0,0,0
22.5,0,112,0,0,0,0,0
22.6,30,0,0,101,0,0,0
22.7,0,0,0,80,0,0,0
22.8,0,135,0,35,0,0,0
22.9,0,50,0,109,0,0,0
23.0,0,0,0,100,0,0,0
23.1,0,0,0,1,0,0,0
23.5,94,0,0,117,0,0,0
23.8,54,0,0,0,0,0,0
24.0,0,0,4,0,0,0,0
24.1,0,0,49,0,0,0,0
24.2,0,0,100,0,0,0,0
24.5,80,0,0,0,0,0,0
24.8,0,7,10,0,0,0,0
25.0,0,0,136,0,0,0,0
25.2,0,5,0,0,0,0,0
25.5,0,0,95,0,0,0,0
25.6,0,0,0,0,3,0,17
25.9,0,0,39,0,0,0,0
26.0,142,0,0,0,0,0,0
26.1,0,0,50,0,0,0,0
26.3,0,8,0,0,0,0,0
26.5,0,0,0,0,13,22,7
26.8,0,0,58,0,0,0,0
27.2,11,0,153,0,0,0,0
27.5,25,17,0,0,0,0,0
27.6,0,24,0,0,0,0,0
27.8,100,0,0,0,0,0,0
27.9,0,35,0,0,0,0,0
28.0,0,6,0,0,0,0,0
34.4,249,0,0,0,0,0,0
35.0,0,0,0,61,0,0,0
37.0,0,0,0,22,0,0,0
37.2,0,0,0,33,0,0,0
38.0,0,0,0,4,0,0,0
48.7,0,0,0,15,0,0,0
54.0,0,0,0,3,0,0,0
54.1,0,0,0,1,0,0,0
90.0,0,0,0,1,0,0,0
