Prior Config,σ₀,Corridor,μ_post (M tkm),σ_post (M tkm),CV (%),95% CI Width,E[RP] (B KRW),E[EEV] (B KRW),VSS (B KRW),VSS/E[RP] (%),ΔCI Width (%),ΔVSS (%)
Baseline (σ₀=300),300,Gyeongbu,3229.8,55.71,1.725,218.4,9.4712,9.2805,0.1906,2.013,0.0,0.0
Baseline (σ₀=300),300,Chungbuk,1733.0,55.71,3.215,218.4,5.0747,4.8807,0.194,3.823,0.0,0.0
Baseline (σ₀=300),300,Yeongdong,1575.5,55.71,3.536,218.4,4.6087,4.4103,0.1984,4.304,0.0,0.0
Baseline (σ₀=300),300,Jungang,1339.2,55.71,4.16,218.4,3.9213,3.728,0.1933,4.929,0.0,0.0
Weakly Informative (σ₀=600),600,Gyeongbu,3229.8,56.45,1.748,221.28,9.4712,9.2779,0.1932,2.04,1.32,1.36
Weakly Informative (σ₀=600),600,Chungbuk,1733.0,56.45,3.257,221.28,5.0746,4.878,0.1965,3.873,1.32,1.29
Weakly Informative (σ₀=600),600,Yeongdong,1575.5,56.45,3.583,221.28,4.6087,4.4076,0.2011,4.363,1.32,1.36
Weakly Informative (σ₀=600),600,Jungang,1339.2,56.45,4.215,221.28,3.9213,3.7254,0.1959,4.996,1.32,1.35
Tight / Dogmatic (σ₀=150),150,Gyeongbu,3229.8,53.04,1.642,207.91,9.4711,9.2899,0.1812,1.913,-4.8,-4.93
Tight / Dogmatic (σ₀=150),150,Chungbuk,1733.0,53.04,3.06,207.91,5.0748,4.8903,0.1845,3.635,-4.8,-4.9
Tight / Dogmatic (σ₀=150),150,Yeongdong,1575.5,53.04,3.366,207.91,4.609,4.4204,0.1887,4.094,-4.8,-4.89
Tight / Dogmatic (σ₀=150),150,Jungang,1339.2,53.04,3.96,207.91,3.9213,3.7376,0.1837,4.684,-4.8,-4.97
