Prior,π_e (KRW/tCO₂e),π_e (k KRW),VSS_Gyeongbu,VSS_Chungbuk,VSS_Yeongdong,VSS_Jungang,VSS_avg (B KRW)
Baseline (σ₀=300),8023,8.0,0.1773,0.1818,0.1864,0.1804,0.1815
Baseline (σ₀=300),21849,21.8,0.1906,0.194,0.1984,0.1933,0.1941
Baseline (σ₀=300),36509,36.5,0.2048,0.2069,0.2111,0.2069,0.2074
Baseline (σ₀=300),22587,22.6,0.1913,0.1947,0.199,0.194,0.1947
Baseline (σ₀=300),8684,8.7,0.1779,0.1824,0.187,0.181,0.1821
Weakly Informative (σ₀=600),8023,8.0,0.1797,0.1842,0.1889,0.1828,0.1839
Weakly Informative (σ₀=600),21849,21.8,0.1932,0.1965,0.2011,0.1959,0.1967
Weakly Informative (σ₀=600),36509,36.5,0.2076,0.2097,0.2139,0.2098,0.2102
Weakly Informative (σ₀=600),22587,22.6,0.194,0.1972,0.2017,0.1966,0.1974
Weakly Informative (σ₀=600),8684,8.7,0.1804,0.1848,0.1895,0.1835,0.1845
Tight / Dogmatic (σ₀=150),8023,8.0,0.1685,0.1729,0.1773,0.1714,0.1725
Tight / Dogmatic (σ₀=150),21849,21.8,0.1812,0.1845,0.1887,0.1837,0.1845
Tight / Dogmatic (σ₀=150),36509,36.5,0.1947,0.1968,0.2007,0.1967,0.1972
Tight / Dogmatic (σ₀=150),22587,22.6,0.1819,0.1851,0.1893,0.1843,0.1852
Tight / Dogmatic (σ₀=150),8684,8.7,0.1691,0.1735,0.1778,0.172,0.1731
