Corridor,Shift (%),Passenger ceiling (%),Exceeds ceiling,N shifted trains/wk,Blocktime saved (min/wk),Blocktime saved (hr/yr),CO₂e base (kg/wk),CO₂e saved (kg/wk),CO₂e penalty (kg/wk),CO₂e net (kg/wk),CO₂e net (t/yr),CO₂e change (%),Monetised saving (M KRW/yr)
Gyeongbu,0,20,no,0.0,0.0,0.0,140123.7,0.0,0.0,0.0,0.0,0.0,-0.0
Gyeongbu,5,20,no,2.94,100.0,86.6,140123.7,7286.4,24.3,-7262.2,-377.63,-5.183,8.251
Gyeongbu,10,20,no,5.88,199.9,173.3,140123.7,14572.9,48.5,-14524.4,-755.27,-10.365,16.502
Gyeongbu,15,20,no,8.82,299.9,259.9,140123.7,21859.3,72.8,-21786.5,-1132.9,-15.548,24.753
Gyeongbu,20,20,no,11.76,399.8,346.5,140123.7,29145.7,97.0,-29048.7,-1510.53,-20.731,33.004
Gyeongbu,25,20,YES ⚠,14.7,499.8,433.2,140123.7,36432.2,121.3,-36310.9,-1888.17,-25.913,41.255
Gyeongbu,30,20,YES ⚠,17.64,599.8,519.8,140123.7,43718.6,145.5,-43573.1,-2265.8,-31.096,49.505
Gyeongbu,40,20,YES ⚠,23.52,799.7,693.1,140123.7,58291.5,194.0,-58097.4,-3021.07,-41.462,66.007
Gyeongbu,50,20,YES ⚠,29.4,999.6,866.3,140123.7,72864.3,242.5,-72621.8,-3776.33,-51.827,82.509
Chungbuk,0,25,no,0.0,0.0,0.0,79594.1,0.0,0.0,0.0,0.0,0.0,-0.0
Chungbuk,5,25,no,1.67,30.1,26.1,79594.1,4138.9,13.8,-4125.1,-214.51,-5.183,4.687
Chungbuk,10,25,no,3.34,60.1,52.1,79594.1,8277.8,27.6,-8250.2,-429.01,-10.365,9.373
Chungbuk,15,25,no,5.01,90.2,78.2,79594.1,12416.7,41.3,-12375.3,-643.52,-15.548,14.06
Chungbuk,20,25,no,6.68,120.2,104.2,79594.1,16555.6,55.1,-16500.5,-858.02,-20.731,18.747
Chungbuk,25,25,no,8.35,150.3,130.3,79594.1,20694.5,68.9,-20625.6,-1072.53,-25.913,23.434
Chungbuk,30,25,YES ⚠,10.02,180.4,156.3,79594.1,24833.3,82.7,-24750.7,-1287.04,-31.096,28.12
Chungbuk,40,25,YES ⚠,13.36,240.5,208.4,79594.1,33111.1,110.2,-33000.9,-1716.05,-41.462,37.494
Chungbuk,50,25,YES ⚠,16.7,300.6,260.5,79594.1,41388.9,137.8,-41251.2,-2145.06,-51.827,46.867
Yeongdong,0,30,no,0.0,0.0,0.0,69823.5,0.0,0.0,0.0,0.0,0.0,-0.0
Yeongdong,5,30,no,1.47,17.6,15.2,69823.5,3630.8,12.1,-3618.7,-188.17,-5.183,4.111
Yeongdong,10,30,no,2.93,35.2,30.5,69823.5,7261.6,24.2,-7237.5,-376.35,-10.365,8.223
Yeongdong,15,30,no,4.39,52.7,45.7,69823.5,10892.5,36.3,-10856.2,-564.52,-15.548,12.334
Yeongdong,20,30,no,5.86,70.3,60.9,69823.5,14523.3,48.3,-14475.0,-752.7,-20.731,16.446
Yeongdong,25,30,no,7.33,87.9,76.2,69823.5,18154.1,60.4,-18093.7,-940.87,-25.913,20.557
Yeongdong,30,30,no,8.79,105.5,91.4,69823.5,21784.9,72.5,-21712.4,-1129.05,-31.096,24.669
Yeongdong,40,30,YES ⚠,11.72,140.6,121.9,69823.5,29046.6,96.7,-28949.9,-1505.4,-41.462,32.891
Yeongdong,50,30,YES ⚠,14.65,175.8,152.4,69823.5,36308.2,120.8,-36187.4,-1881.74,-51.827,41.114
Jungang,0,30,no,0.0,0.0,0.0,60053.0,0.0,0.0,0.0,0.0,0.0,-0.0
Jungang,5,30,no,1.26,27.7,24.0,60053.0,3122.8,10.4,-3112.4,-161.84,-5.183,3.536
Jungang,10,30,no,2.52,55.4,48.0,60053.0,6245.5,20.8,-6224.7,-323.69,-10.365,7.072
Jungang,15,30,no,3.78,83.2,72.1,60053.0,9368.3,31.2,-9337.1,-485.53,-15.548,10.608
Jungang,20,30,no,5.04,110.9,96.1,60053.0,12491.0,41.6,-12449.5,-647.37,-20.731,14.144
Jungang,25,30,no,6.3,138.6,120.1,60053.0,15613.8,52.0,-15561.8,-809.21,-25.913,17.681
Jungang,30,30,no,7.56,166.3,144.1,60053.0,18736.5,62.4,-18674.2,-971.06,-31.096,21.217
Jungang,40,30,YES ⚠,10.08,221.8,192.2,60053.0,24982.1,83.2,-24898.9,-1294.74,-41.462,28.289
Jungang,50,30,YES ⚠,12.6,277.2,240.2,60053.0,31227.6,103.9,-31123.6,-1618.43,-51.827,35.361
